contagio	anio_contagio	mes_contagio
si	2021	1
si	2021	1
si	2021	1
si	2021	1
si	2021	1
si	2021	1
si	2021	1
si	2021	1
si	2021	1
si	2021	1
si	2021	1
si	2021	1
si	2021	1
si	2021	1
si	2021	1
si	2021	1
si	2021	1
si	2021	1
si	2021	1
si	2021	2
si	2021	2
si	2021	2
si	2021	2
si	2021	2
si	2021	2
si	2021	2
si	2021	2
si	2021	2
si	2021	2
si	2021	2
si	2021	3
si	2021	3
si	2021	3
si	2021	3
si	2021	3
si	2021	3
si	2021	3
si	2021	3
si	2021	3
si	2021	3
si	2021	3
si	2021	3
si	2021	3
si	2021	3
si	2021	3
si	2021	3
si	2021	3
si	2021	3
si	2021	3
si	2021	3
si	2021	3
si	2021	3
si	2021	3
si	2021	3
si	2021	3
si	2021	3
si	2021	3
si	2021	3
si	2021	3
si	2021	3
si	2021	3
si	2021	3
si	2021	3
si	2021	3
si	2021	3
si	2021	3
si	2021	3
si	2021	3
si	2021	3
si	2021	3
si	2021	3
si	2021	3
si	2021	4
si	2021	4
si	2021	4
si	2021	4
si	2021	4
si	2021	4
si	2021	4
si	2021	4
si	2021	4
si	2021	4
si	2021	4
si	2021	4
si	2021	4
si	2021	4
si	2021	4
si	2021	4
si	2021	4
si	2021	4
si	2021	4
si	2021	4
si	2021	4
si	2021	4
si	2021	4
si	2021	4
si	2021	4
si	2021	4
si	2021	4
si	2021	4
si	2021	4
si	2021	4
si	2021	4
si	2021	4
si	2021	4
si	2021	4
si	2021	4
si	2021	4
si	2021	4
si	2021	4
si	2021	4
si	2021	5
si	2021	5
si	2021	5
si	2021	5
si	2021	5
si	2021	5
si	2021	5
si	2021	5
si	2021	5
si	2021	5
si	2021	5
si	2021	5
si	2021	5
si	2021	5
si	2021	5
si	2021	5
si	2021	5
si	2021	5
si	2021	5
si	2021	5
si	2021	5
si	2021	5
si	2021	5
si	2021	5
si	2021	6
si	2021	6
si	2021	6
si	2021	6
si	2021	6
si	2021	6
si	2021	6
si	2021	6
si	2021	6
si	2021	6
si	2021	6
si	2021	6
si	2021	6
si	2021	6
si	2021	6
si	2021	6
si	2021	6
si	2021	6
si	2021	6
si	2021	6
si	2021	6
si	2021	6
si	2021	7
si	2021	7
si	2021	7
si	2021	7
si	2021	7
si	2021	7
si	2021	7
si	2021	7
si	2021	7
si	2021	7
si	2021	7
si	2021	7
si	2021	7
si	2021	7
si	2021	7
si	2021	7
si	2021	7
si	2021	7
si	2021	7
si	2021	7
si	2021	7
si	2021	7
si	2021	7
si	2021	7
si	2021	7
si	2021	7
si	2021	7
si	2021	7
si	2021	7
si	2021	7
si	2021	7
si	2021	8
si	2021	8
si	2021	8
si	2021	8
si	2021	9
si	2021	9
si	2021	9
si	2021	9
si	2021	9
si	2021	10
si	2021	10
si	2021	11
si	2021	11
si	2021	11
si	2021	12
si	2021	12
si	2021	12
si	2021	12
si	2021	12
si	2021	12
si	2021	12
si	2021	12
si	2021	12
si	2021	12
si	2021	12
si	2021	12
si	2021	12
si	2021	12
si	2021	12
si	2021	12
si	2021	12
si	2021	12
si	2021	12
si	2021	12
si	2021	12
si	2021	12
si	2021	12
si	2021	12
si	2021	12
si	2021	12
si	2021	12
si	2021	12
si	2021	12
si	2021	12
si	2021	12
si	2021	12
si	2021	12
si	2021	12
si	2021	12
si	2021	12
si	2022	1
